2024-05-17 11:31:30 startup archives unpack
2024-05-17 11:31:31 upgrade libc6-dbg:amd64 2.27-3ubuntu1.5 2.27-3ubuntu1.6
2024-05-17 11:31:31 status half-configured libc6-dbg:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:31 status unpacked libc6-dbg:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:31 status half-installed libc6-dbg:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:33 status half-installed libc6-dbg:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:33 status unpacked libc6-dbg:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:33 status unpacked libc6-dbg:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:34 upgrade libc6:amd64 2.27-3ubuntu1.5 2.27-3ubuntu1.6
2024-05-17 11:31:34 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:34 status half-configured libc6:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:34 status unpacked libc6:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:34 status half-installed libc6:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:36 status half-installed libc6:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:36 status unpacked libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:36 status unpacked libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:37 startup packages configure
2024-05-17 11:31:37 configure libc6:amd64 2.27-3ubuntu1.6 <none>
2024-05-17 11:31:37 status unpacked libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:37 status unpacked libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:37 status half-configured libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:38 status installed libc6:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:38 startup archives unpack
2024-05-17 11:31:39 upgrade base-files:amd64 10.1ubuntu2.10 10.1ubuntu2.12
2024-05-17 11:31:39 status half-configured base-files:amd64 10.1ubuntu2.10
2024-05-17 11:31:39 status unpacked base-files:amd64 10.1ubuntu2.10
2024-05-17 11:31:39 status half-installed base-files:amd64 10.1ubuntu2.10
2024-05-17 11:31:39 status triggers-pending plymouth-theme-ubuntu-text:amd64 0.9.3-1ubuntu7.18.04.2
2024-05-17 11:31:39 status triggers-pending cracklib-runtime:amd64 2.9.2-5build1
2024-05-17 11:31:39 status triggers-pending install-info:amd64 6.5.0.dfsg.1-2
2024-05-17 11:31:39 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2024-05-17 11:31:40 status half-installed base-files:amd64 10.1ubuntu2.10
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 startup packages configure
2024-05-17 11:31:41 configure base-files:amd64 10.1ubuntu2.12 <none>
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:41 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status unpacked base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:42 status half-configured base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:44 status installed base-files:amd64 10.1ubuntu2.12
2024-05-17 11:31:44 startup archives unpack
2024-05-17 11:31:45 upgrade locales:all 2.27-3ubuntu1.5 2.27-3ubuntu1.6
2024-05-17 11:31:45 status half-configured locales:all 2.27-3ubuntu1.5
2024-05-17 11:31:45 status unpacked locales:all 2.27-3ubuntu1.5
2024-05-17 11:31:45 status half-installed locales:all 2.27-3ubuntu1.5
2024-05-17 11:31:47 status half-installed locales:all 2.27-3ubuntu1.5
2024-05-17 11:31:47 status unpacked locales:all 2.27-3ubuntu1.6
2024-05-17 11:31:47 status unpacked locales:all 2.27-3ubuntu1.6
2024-05-17 11:31:48 upgrade libc-bin:amd64 2.27-3ubuntu1.5 2.27-3ubuntu1.6
2024-05-17 11:31:48 status half-configured libc-bin:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:48 status unpacked libc-bin:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:48 status half-installed libc-bin:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:49 status half-installed libc-bin:amd64 2.27-3ubuntu1.5
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 startup packages configure
2024-05-17 11:31:49 configure libc-bin:amd64 2.27-3ubuntu1.6 <none>
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:49 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:50 status unpacked libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:50 status half-configured libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:50 status installed libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:50 startup archives unpack
2024-05-17 11:31:51 upgrade libapt-pkg5.0:amd64 1.6.12ubuntu0.2 1.6.17
2024-05-17 11:31:51 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.6
2024-05-17 11:31:51 status half-configured libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:51 status unpacked libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:51 status half-installed libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:51 status half-installed libapt-pkg5.0:amd64 1.6.12ubuntu0.2
2024-05-17 11:31:52 status unpacked libapt-pkg5.0:amd64 1.6.17
